new_cases,new_deaths,new_tests,date_obj,year
0.0,0.0,,2019-12-31,2019
0.0,0.0,,2020-01-01,2020
0.0,0.0,,2020-01-02,2020
0.0,0.0,,2020-01-03,2020
0.0,0.0,,2020-01-04,2020
0.0,0.0,,2020-01-05,2020
0.0,0.0,,2020-01-06,2020
0.0,0.0,,2020-01-07,2020
0.0,0.0,,2020-01-08,2020
0.0,0.0,,2020-01-09,2020
0.0,0.0,,2020-01-10,2020
0.0,0.0,,2020-01-11,2020
0.0,0.0,,2020-01-12,2020
0.0,0.0,,2020-01-13,2020
0.0,0.0,,2020-01-14,2020
0.0,0.0,,2020-01-15,2020
0.0,0.0,,2020-01-16,2020
0.0,0.0,,2020-01-17,2020
0.0,0.0,,2020-01-18,2020
0.0,0.0,,2020-01-19,2020
0.0,0.0,,2020-01-20,2020
0.0,0.0,,2020-01-21,2020
0.0,0.0,,2020-01-22,2020
0.0,0.0,,2020-01-23,2020
0.0,0.0,,2020-01-24,2020
0.0,0.0,,2020-01-25,2020
0.0,0.0,,2020-01-26,2020
0.0,0.0,,2020-01-27,2020
0.0,0.0,,2020-01-28,2020
0.0,0.0,,2020-01-29,2020
0.0,0.0,,2020-01-30,2020
3.0,0.0,,2020-01-31,2020
0.0,0.0,,2020-02-01,2020
0.0,0.0,,2020-02-02,2020
0.0,0.0,,2020-02-03,2020
0.0,0.0,,2020-02-04,2020
0.0,0.0,,2020-02-05,2020
0.0,0.0,,2020-02-06,2020
0.0,0.0,,2020-02-07,2020
0.0,0.0,,2020-02-08,2020
0.0,0.0,,2020-02-09,2020
0.0,0.0,,2020-02-10,2020
0.0,0.0,,2020-02-11,2020
0.0,0.0,,2020-02-12,2020
0.0,0.0,,2020-02-13,2020
0.0,0.0,,2020-02-14,2020
0.0,0.0,,2020-02-15,2020
0.0,0.0,,2020-02-16,2020
0.0,0.0,,2020-02-17,2020
0.0,0.0,,2020-02-18,2020
0.0,0.0,,2020-02-19,2020
0.0,0.0,,2020-02-20,2020
0.0,0.0,,2020-02-21,2020
14.0,0.0,,2020-02-22,2020
62.0,2.0,,2020-02-23,2020
53.0,0.0,,2020-02-24,2020
97.0,4.0,,2020-02-25,2020
93.0,5.0,,2020-02-26,2020
78.0,1.0,,2020-02-27,2020
250.0,5.0,,2020-02-28,2020
238.0,4.0,,2020-02-29,2020
240.0,8.0,,2020-03-01,2020
561.0,6.0,,2020-03-02,2020
347.0,17.0,,2020-03-03,2020
466.0,28.0,,2020-03-04,2020
587.0,27.0,,2020-03-05,2020
769.0,41.0,,2020-03-06,2020
778.0,49.0,,2020-03-07,2020
1247.0,36.0,,2020-03-08,2020
1492.0,133.0,,2020-03-09,2020
1797.0,98.0,,2020-03-10,2020
977.0,167.0,,2020-03-11,2020
2313.0,196.0,,2020-03-12,2020
2651.0,189.0,,2020-03-13,2020
2547.0,252.0,,2020-03-14,2020
3497.0,173.0,,2020-03-15,2020
2823.0,370.0,,2020-03-16,2020
4000.0,347.0,,2020-03-17,2020
3526.0,347.0,,2020-03-18,2020
4207.0,473.0,,2020-03-19,2020
5322.0,429.0,,2020-03-20,2020
5986.0,625.0,,2020-03-21,2020
6557.0,795.0,,2020-03-22,2020
5560.0,649.0,,2020-03-23,2020
4789.0,601.0,,2020-03-24,2020
5249.0,743.0,,2020-03-25,2020
5210.0,685.0,,2020-03-26,2020
6153.0,660.0,,2020-03-27,2020
5959.0,971.0,,2020-03-28,2020
5974.0,887.0,,2020-03-29,2020
5217.0,758.0,,2020-03-30,2020
4050.0,810.0,,2020-03-31,2020
4053.0,839.0,,2020-04-01,2020
4782.0,727.0,,2020-04-02,2020
4668.0,760.0,,2020-04-03,2020
4585.0,764.0,,2020-04-04,2020
4805.0,681.0,,2020-04-05,2020
4316.0,527.0,,2020-04-06,2020
3599.0,636.0,,2020-04-07,2020
3039.0,604.0,,2020-04-08,2020
3836.0,540.0,,2020-04-09,2020
4204.0,612.0,,2020-04-10,2020
3951.0,570.0,,2020-04-11,2020
4694.0,619.0,,2020-04-12,2020
4092.0,431.0,,2020-04-13,2020
3153.0,564.0,,2020-04-14,2020
2972.0,604.0,,2020-04-15,2020
2667.0,578.0,,2020-04-16,2020
3786.0,525.0,,2020-04-17,2020
3493.0,575.0,,2020-04-18,2020
3491.0,480.0,,2020-04-19,2020
3047.0,433.0,7841.0,2020-04-20,2020
2256.0,454.0,28095.0,2020-04-21,2020
2729.0,534.0,44248.0,2020-04-22,2020
